Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
325, 0.0232068  , 0.16971  , 0.000370889 
326, 0.0253165  , 0.199537 , 0.0297744   
327, 0.0221519  , 0.174811 , 0.000723663 
328, 0.0232068  , 0.183828 , 0.000809718 
329, 0.0179325  , 0.188507 , 0.000857429 
330, 0.0221519  , 0.191825 , 0.001072    
331, 0.0221519  , 0.181958 , 0.00118808  
332, 0.0221519  , 0.185555 , 0.00121002  
333, 0.0274262  , 0.182133 , 0.00100866  
334, 0.0179325  , 0.181818 , 0.000713195 
335, 0.0147679  , 0.167255 , 0.000180331 
336, 0.0263713  , 0.186945 , 0.0012998   
337, 0.0189873  , 0.176274 , 0.000676431 
338, 0.0200422  , 0.176306 , 0.000623728 
339, 0.0168776  , 0.185373 , 0.000603113 
340, 0.0232068  , 0.19783  , 0.0307205   
341, 0.0189873  , 0.179206 , 0.000954833 
342, 0.021097   , 0.174329 , 0.000398873 
343, 0.0274262  , 0.188845 , 0.00147781  
344, 0.0168776  , 0.178834 , 0.000769432 
345, 0.028481   , 0.192058 , 0.00169182  
346, 0.0221519  , 0.167462 , 0.000172293 
347, 0.0179325  , 0.169558 , 0.000110047 
348, 0.0263713  , 0.192097 , 0.00207274  
349, 0.0242616  , 0.174521 , 0.000515438 
350, 0.0221519  , 0.18016  , 0.00345634  
351, 0.0189873  , 0.194422 , 0.0025235   
352, 0.0242616  , 0.215259 , 0.0707599   
353, 0.0189873  , 0.187611 , 0.00260186  
354, 0.0221519  , 0.200042 , 0.0382754   
355, 0.028481   , 0.190937 , 0.00257588  
356, 0.0305907  , 0.181748 , 0.00236762  
357, 0.0189873  , 0.173436 , 0.00181086  
358, 0.021097   , 0.17843  , 0.00249145  
359, 0.0221519  , 0.183863 , 0.00103772  
360, 0.0221519  , 0.18147  , 0.00179126  
361, 0.0189873  , 0.201274 , 0.0304718   
362, 0.0168776  , 0.171553 , 0.00025038  
363, 0.0263713  , 0.191554 , 0.0705046   
364, 0.0232068  , 0.190744 , 0.00209904  
365, 0.0168776  , 0.187241 , 0.000977403 
366, 0.0253165  , 0.167166 , 2.89866e-05 
367, 0.0253165  , 0.176438 , 0.00151532  
