Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
337, 0.0214133  , 0.205727 , 0.00130988  
338, 0.0224839  , 0.192657 , 0.000749036 
339, 0.0224839  , 0.213926 , 0.00203474  
340, 0.0224839  , 0.189683 , 0.00128679  
341, 0.0278373  , 0.212224 , 0.070793    
342, 0.0182013  , 0.212466 , 0.00378024  
343, 0.0235546  , 0.207325 , 0.0243169   
344, 0.0224839  , 0.210693 , 0.0420823   
345, 0.0256959  , 0.230106 , 0.103026    
346, 0.0192719  , 0.208995 , 0.031292    
347, 0.0246253  , 0.206546 , 0.0039572   
348, 0.0203426  , 0.207833 , 0.000888139 
349, 0.0224839  , 0.192419 , 0.000413135 
350, 0.0235546  , 0.195766 , 0.0209902   
351, 0.0256959  , 0.212514 , 0.00308064  
352, 0.0235546  , 0.196922 , 0.00206209  
353, 0.0246253  , 0.194746 , 0.00126215  
354, 0.0256959  , 0.187663 , 0.000712504 
355, 0.0310493  , 0.209935 , 0.00495456  
356, 0.0203426  , 0.19919  , 0.00235879  
357, 0.0203426  , 0.199829 , 0.00146401  
358, 0.0171306  , 0.196384 , 0.0008036   
359, 0.0235546  , 0.200386 , 0.00142217  
360, 0.0246253  , 0.208575 , 0.00419157  
361, 0.0203426  , 0.185575 , 0.000205641 
362, 0.0256959  , 0.2046   , 0.00293635  
363, 0.0171306  , 0.199615 , 0.00204646  
364, 0.0256959  , 0.192617 , 0.00115718  
365, 0.0214133  , 0.20682  , 0.00176445  
366, 0.0278373  , 0.192419 , 0.00176693  
367, 0.0203426  , 0.205455 , 0.00151965  
368, 0.0246253  , 0.209652 , 0.00456697  
369, 0.0278373  , 0.197881 , 0.00195446  
370, 0.01606    , 0.197547 , 0.00129263  
371, 0.0246253  , 0.194462 , 0.0289376   
372, 0.0267666  , 0.197923 , 0.00246493  
373, 0.0139186  , 0.181359 , 0.000101468 
374, 0.0214133  , 0.183967 , 0.000555595 
375, 0.01606    , 0.189222 , 0.000864241 
376, 0.0214133  , 0.191237 , 0.00135782  
377, 0.0192719  , 0.18433  , 0.000629101 
378, 0.0267666  , 0.206683 , 0.0645672   
379, 0.0203426  , 0.189568 , 0.00081611  
380, 0.0224839  , 0.193575 , 0.00124338  
381, 0.0203426  , 0.198133 , 0.00144812  
382, 0.0182013  , 0.184185 , 0.000373184 
383, 0.01606    , 0.201336 , 0.00163722  
384, 0.0224839  , 0.181289 , 0.000391272 
385, 0.0182013  , 0.198301 , 0.00152595  
386, 0.0224839  , 0.187928 , 0.0116415   
387, 0.0171306  , 0.191865 , 0.0011056   
388, 0.0246253  , 0.185501 , 0.00100555  
389, 0.0214133  , 0.192142 , 0.000861048 
390, 0.0182013  , 0.180379 , 0.000417652 
391, 0.01606    , 0.184512 , 0.000696936 
392, 0.0171306  , 0.190031 , 0.000537441 
393, 0.0192719  , 0.191905 , 0.00120218  
394, 0.0224839  , 0.182994 , 0.000657802 
395, 0.0203426  , 0.202603 , 0.0487457   
396, 0.0214133  , 0.182315 , 0.000278053 
397, 0.0267666  , 0.200257 , 0.0449857   
398, 0.0224839  , 0.207141 , 0.0270852   
399, 0.0203426  , 0.188573 , 0.0109918   
400, 0.0214133  , 0.190418 , 0.00118341  
401, 0.0256959  , 0.200601 , 0.00195816  
402, 0.0235546  , 0.194219 , 0.00152328  
403, 0.0171306  , 0.181783 , 0.000208816 
404, 0.0182013  , 0.183137 , 0.00063836  
405, 0.0203426  , 0.188839 , 0.0202859   
406, 0.0192719  , 0.191708 , 0.00110762  
407, 0.0235546  , 0.204825 , 0.0384577   
408, 0.0235546  , 0.199743 , 0.00200118  
409, 0.0192719  , 0.189529 , 0.000805703 
410, 0.0235546  , 0.202033 , 0.00214368  
411, 0.0246253  , 0.167444 , 0.000934963 
412, 0.0224839  , 0.159822 , 0.000141869 
413, 0.0203426  , 0.166994 , 0.000848322 
414, 0.0214133  , 0.163745 , 0.000593001 
415, 0.0299786  , 0.178346 , 0.00214553  
416, 0.0235546  , 0.163802 , 0.000624577 
417, 0.0171306  , 0.163745 , 0.000416811 
418, 0.0171306  , 0.163745 , 0.00036829  
419, 0.0267666  , 0.182279 , 0.0242496   
420, 0.0256959  , 0.174677 , 0.00131718  
421, 0.0171306  , 0.174579 , 0.00134192  
422, 0.0256959  , 0.166875 , 0.000462521 
423, 0.0256959  , 0.174547 , 0.00156537  
424, 0.0278373  , 0.178415 , 0.00233445  
425, 0.0256959  , 0.164814 , 0.000742687 
426, 0.0256959  , 0.170407 , 0.00137098  
427, 0.0149893  , 0.163573 , 0.000108461 
428, 0.0246253  , 0.174482 , 0.00112877  
429, 0.0192719  , 0.166667 , 0.000491792 
430, 0.0235546  , 0.176193 , 0.0281906   
431, 0.0203426  , 0.167624 , 0.000831893 
432, 0.0214133  , 0.166756 , 0.000476358 
433, 0.0256959  , 0.163975 , 0.000294454 
434, 0.0289079  , 0.167354 , 0.00121247  
435, 0.0203426  , 0.15925  , 0.000480772 
436, 0.0203426  , 0.167324 , 0.000784071 
437, 0.0278373  , 0.173767 , 0.0104414   
438, 0.0235546  , 0.170937 , 0.000757746 
439, 0.0246253  , 0.167234 , 0.00104255  
440, 0.0224839  , 0.174124 , 0.00104673  
441, 0.0214133  , 0.167354 , 0.000802201 
442, 0.0246253  , 0.174645 , 0.00136978  
443, 0.0224839  , 0.160674 , 0.000268101 
444, 0.0267666  , 0.163601 , 0.000229763 
445, 0.0267666  , 0.167054 , 0.000452904 
446, 0.0214133  , 0.167654 , 0.000769838 
447, 0.0256959  , 0.175005 , 0.00170827  
448, 0.0267666  , 0.180553 , 0.0396839   
449, 0.0235546  , 0.170345 , 0.00119084  
450, 0.0224839  , 0.178074 , 0.00155424  
451, 0.0278373  , 0.170937 , 0.00150368  
452, 0.0278373  , 0.160813 , 0.000505563 
453, 0.0214133  , 0.173445 , 0.0224738   
454, 0.0224839  , 0.17125  , 0.00984249  
455, 0.0235546  , 0.174841 , 0.00185153  
